timestamp,CSAC1 - AHM1,CS1 - AHM1,CSAC2 - AHM1,CSAC3 - AHM1,AHM2 - AHM1
1773349375,-3.4568150596965066,0.0002783945659026504,-4.890208938907954,-4.88967505185179,0.00027842670100182296
1773349376,-3.4568150590951063,0.00027839456070512535,-4.8902089381144,-4.8896750516888465,0.0002784266970306635
1773349377,-3.4568150584973245,0.0002783945625901222,-4.890208937627439,-4.889675051158093,0.00027842669811919333
1773349378,-3.456815057978,0.00027839456572681663,-4.890208936621755,-4.889675051147635,0.00027842669970020654
1773349379,-3.4568150576884,0.0002783945660933852,-4.890208936185068,-4.889675051922338,0.0002784267000667751
1773349380,-3.4568150571940692,0.000278394572018832,-4.89020893510629,-4.889675052481313,0.0002784267002120614
1773349381,-3.456815056422065,0.0002783945696920156,-4.890208934490363,-4.889675052817985,0.00027842669609561563
1773349382,-3.456815056411083,0.00027839456715881823,-4.890208933542245,-4.8896750531596815,0.00027842669706568124
1773349383,-3.4568150557534247,0.000278394562780112,-4.8902089325537945,-4.889675053655418,0.0002784266984216869
1773349384,-3.4568150554161994,0.000278394562780112,-4.890208932299603,-4.8896750542934235,0.0002784266991503537
1773349385,-3.4568150549759187,0.00027839456287547947,-4.890208931643733,-4.889675054112511,0.0002784267014175653
1773349386,-3.456815054294078,0.0002783945644296706,-4.890208931322992,-4.889675054659789,0.0002784266967147589
1773349387,-3.456815053435615,0.00027839456297010186,-4.890208930789193,-4.889675054399633,0.0002784266981959343
1773349388,-3.4568150528218604,0.0002783945594750345,-4.8902089298209,-4.8896750548432495,0.0002784266981959343
1773349389,-3.4568150521545706,0.00027839455956220625,-4.890208929013226,-4.889675055085324,0.00027842669772803786
1773349390,-3.4568150516925016,0.00027839455605894325,-4.890208928587026,-4.8896750544429075,0.00027842669864445925
1773349391,-3.4568150511607194,0.00027839455265179277,-4.8902089274073415,-4.889675054643326,0.0002784266972608864
1773349392,-3.4568150504041433,0.0002783945462875068,-4.890208926714483,-4.889675054442634,0.0002784266979023814
1773349393,-3.456815049651122,0.0002783945457413793,-4.890208925729085,-4.889675054519443,0.00027842669716253877
1773349394,-3.4568150492792955,0.0002783945457406342,-4.890208924562774,-4.889675054353344,0.0002784266967922449
1773349395,-3.4568150487708307,0.0002783945388302207,-4.890208923809857,-4.889675053906615,0.0002784266963250935
1773349396,-3.4568150482005464,0.00027839453883096574,-4.8902089232921,-4.889675054520001,0.0002784266963258386
1773349397,-3.4568150475912898,0.0002783945419967175,-4.890208922655938,-4.8896750546565295,0.0002784266963250935
1773349398,-3.456815046836492,0.0002783945389263332,-4.890208921924531,-4.889675055024128,0.0002784266958579421
1773349399,-3.456815046168904,0.00027839454008340834,-4.890208921558806,-4.889675055012314,0.0002784266958579421
1773349400,-3.4568150457948894,0.0002783945425249636,-4.890208921099869,-4.889675055078301,0.0002784266953907907
1773349401,-3.4568150452889355,0.0002783945425249636,-4.890208919834352,-4.889675054918266,0.00027842669889330864
1773349402,-3.456815044636952,0.000278394546122849,-4.890208919100798,-4.889675055103414,0.00027842669776678084
1773349403,-3.456815044089703,0.00027839454612359405,-4.890208918329353,-4.88967505493017,0.00027842669492289426
1773349404,-3.456815043469646,0.00027839455181434753,-4.8902089177523,-4.889675054484875,0.0002784266944557428
1773349405,-3.4568150428547777,0.0002783945483841002,-4.890208916904395,-4.889675054573003,0.00027842669795826076
1773349406,-3.456815042316719,0.0002783945456370711,-4.890208916593298,-4.889675054442866,0.00027842669681310653
1773349407,-3.4568150417210743,0.00027839454281181097,-4.8902089157071496,-4.889675054721309,0.0002784266943745315
1773349408,-3.4568150409052247,0.00027839454640969636,-4.890208914599827,-4.889675054485072,0.00027842669351994993
1773349409,-3.456815040389645,0.0002783945499122143,-4.890208914204215,-4.889675054477242,0.00027842669351994993
1773349410,-3.4568150395959676,0.00027839455105438827,-4.890208913086199,-4.889675054503987,0.0002784266946621239
1773349411,-3.456815038927213,0.00027839455701261757,-4.890208912609395,-4.889675054865367,0.00027842669655457137
1773349412,-3.456815038258225,0.0002783945601314306,-4.8902089117941125,-4.889675055203814,0.00027842669617161154
1773349413,-3.4568150375540703,0.000278394560611248,-4.890208910899588,-4.889675055176999,0.000278426695407182
1773349414,-3.456815036923137,0.00027839457111805677,-4.890208909914242,-4.88967505485847,0.00027842669608742
1773349415,-3.4568150363479844,0.0002783945782184601,-4.890208909389829,-4.889675055206381,0.0002784266956202686
1773349416,-3.456815035736634,0.0002783945782609284,-4.890208908644128,-4.889675055163477,0.00027842669211775066
1773349417,-3.456815035119833,0.0002783945782184601,-4.8902089085862395,-4.889675054750638,0.00027842669236809013
1773349418,-3.4568150344165445,0.00027839457481130956,-4.89020890750521,-4.889675054681904,0.0002784266961738467
1773349419,-3.4568150336515346,0.0002783945736646652,-4.890208906616873,-4.8896750542472205,0.0002784266952373087
1773349420,-3.4568150328208818,0.0002783945710301399,-4.890208906009554,-4.889675053872039,0.0002784266946852207
1773349421,-3.4568150321039477,0.00027839456479996445,-4.890208905376713,-4.889675053788393,0.00027842669452354314
1773349422,-3.45681503148834,0.0002783945644937456,-4.8902089047192865,-4.889675054146802,0.00027842669421732427
1773349423,-3.4568150307290084,0.00027839455594196917,-4.8902089044117565,-4.889675053827619,0.0002784266956090927
1773349424,-3.4568150304366054,0.00027839455058053137,-4.890208904053164,-4.889675053910124,0.00027842669725269077
1773349425,-3.456815029897307,0.0002783945401698351,-4.8902089034179355,-4.889675053421289,0.0002784266903325915
1773349426,-3.4568150293505786,0.00027839453316554427,-4.890208902789636,-4.889675053589927,0.00027842669328302145
1773349427,-3.4568150286989034,0.000278394522754848,-4.890208901725366,-4.889675053150099,0.00027842669530659916
1773349428,-3.4568150282259777,0.0002783945192530751,-4.890208900523178,-4.889675053697711,0.00027842669631764294
1773349429,-3.456815027557373,0.0002783945197075605,-4.890208899575893,-4.889675054224727,0.00027842669584974644
1773349430,-3.4568150268181204,0.00027839452242404224,-4.890208899048709,-4.88967505424551,0.00027842669234871863
1773349431,-3.456815026153916,0.0002783945228509605,-4.890208898037371,-4.889675054173744,0.00027842669234797357
1773349432,-3.4568150249093876,0.0002783945279471576,-4.8902088971119,-4.889675053712059,0.0002784266939423978
1773349433,-3.4568150241981104,0.0002783945327438414,-4.890208896414934,-4.889675054051498,0.0002784266918808222
1773349434,-3.456815023617554,0.0002783945335485041,-4.890208896165909,-4.8896750545924625,0.0002784266949154437
1773349435,-3.456815023089505,0.000278394530826062,-4.890208895217367,-4.889675055220524,0.00027842669569551944
1773349436,-3.4568150224436596,0.00027839453364387156,-4.89020889418382,-4.889675055291397,0.0002784266933403909
1773349437,-3.4568150216769307,0.00027839453477561475,-4.890208893517289,-4.889675054903374,0.0002784266904786229
1773349438,-3.4568150208566233,0.00027839454074278476,-4.890208892895112,-4.889675055165251,0.0002784266939803958
1773349439,-3.4568150202113888,0.00027839454083815215,-4.890208891923677,-4.889675054938406,0.0002784266935132444
