timestamp,ch1,ch2,ch3,ch4,ch5,ch10
1773349578,7189367.953921809,24473442.613226697,24474834.585761536,22398.632968764,25067.330789027,24474834.7465787
1773349579,7189411.707227861,24473486.36409296,24474878.336617548,22442.388206259,25111.08096755,24474878.497462463
1773349580,7189455.460850543,24473530.11476672,24474922.087291308,22486.143469663,25154.830768961,24474922.248136222
1773349581,7189499.214438185,24473573.86523048,24474965.837740406,22529.898077024,25198.578832257,24474965.99858248
1773349582,7189542.968041165,24473617.61549096,24475009.58798103,22573.649416336,25242.329885178,24475009.748836234
1773349583,7189586.722472126,24473661.365521587,24475053.337994155,22617.401228841,25286.081353026,24475053.498871252
1773349584,7189630.476334675,24473705.115340192,24475097.08781478,22661.153245708,25329.830947214,24475097.248705026
1773349585,7189674.228920934,24473748.864952836,24475140.837460406,22704.905849611,25373.580883382,24475140.998320006
1773349586,7189717.982288804,24473792.614360213,24475184.586878534,22748.661264068,25417.330008749,24475184.747707546
1773349587,7189761.734871023,24473836.36353773,24475228.33606328,22792.412896225,25461.077672791,24475228.49688506
1773349588,7189805.488308597,24473880.112503283,24475272.0849958,22836.165829498,25504.824225993,24475272.24586578
1773349589,7189849.23964787,24473923.861265205,24475315.833753325,22879.91679062,25548.568361186,24475315.994627606
1773349590,7189892.992071549,24473967.609817132,24475359.582325663,22923.669152008,25592.318110236,24475359.743175138
1773349591,7189936.742790144,24474011.35815907,24475403.330685098,22967.420964214,25636.066771654,24475403.491512965
1773349592,7189980.493700346,24474055.106271654,24475447.078780666,23011.174352064,25679.811174123,24475447.239618514
1773349593,7190024.244733711,24474098.85418052,24475490.826654535,23054.926862982,25723.556587927,24475490.987523187
1773349594,7190067.994943663,24474142.601879396,24475534.57433591,23098.677667151,25767.30302394,24475534.735222064
1773349595,7190111.7449776,24474186.34937967,24475578.3217898,23142.426469302,25811.048133956,24475578.482720003
1773349596,7190155.495896548,24474230.096647184,24475622.069049995,23186.175920903,25854.795548401,24475622.230003323
1773349597,7190199.245493682,24474273.8436986,24475665.816070836,23229.927441372,25898.541012003,24475665.977059163
1773349598,7190242.995957298,24474317.59053685,24475709.56288169,23273.679139612,25942.288811886,24475709.72387002
1773349599,7190286.745305637,24474361.337165557,24475753.30950006,23317.430326578,25986.03312278,24475753.47050589
1773349600,7190330.494697235,24474405.08357394,24475797.05590747,23361.18164794,26029.777664992,24475797.216927975
1773349601,7190374.244933674,24474448.82975782,24475840.80207531,23404.932375435,26073.523370374,24475840.96311332
1773349602,7190417.993191445,24474492.57574061,24475884.548033178,23448.681997165,26117.270501558,24475884.709093772
1773349603,7190461.740579989,24474536.321510438,24475928.293810915,23492.430421618,26161.013942829,24475928.454836566
1773349604,7190505.491135962,24474580.067052793,24475972.03935396,23536.179780197,26204.755008135,24475972.200388458
1773349605,7190549.239267776,24474623.812350173,24476015.784668148,23579.925409965,26248.50038506,24476015.945685837
1773349606,7190592.98689345,24474667.557427824,24476059.52976378,23623.673514024,26292.246097578,24476059.69077324
1773349607,7190636.734888523,24474711.302292213,24476103.274645668,23667.42294095,26335.989940166,24476103.435625546
1773349608,7190680.48267474,24474755.046911635,24476147.019265093,23711.170120052,26379.733532777,24476147.180244967
1773349609,7190724.230812305,24474798.79128974,24476190.763639543,23754.917516754,26423.47909304,24476190.92461942
1773349610,7190767.976659551,24474842.535433073,24476234.507777642,23798.666042556,26467.225062104,24476234.6687722
1773349611,7190811.722055015,24474886.279330194,24476278.25166664,23842.411578432,26510.968995503,24476278.412678692
1773349612,7190855.46919564,24474930.023009222,24476321.995328166,23886.160198761,26554.710696226,24476322.156354982
1773349613,7190899.21495556,24474973.766443282,24476365.738714308,23929.907587872,26598.455138976,24476365.899776038
1773349614,7190942.962115247,24475017.509605963,24476409.4818729,23973.653160482,26642.198631934,24476409.64294088
1773349615,7190986.70730171,24475061.252537094,24476453.224804033,24017.400146984,26685.940251242,24476453.385865763
1773349616,7191030.454822228,24475104.995223347,24476496.967507698,24061.147936863,26729.68189533,24476497.12855193
1773349617,7191074.200867785,24475148.737651568,24476540.70994891,24104.895615355,26773.422755832,24476540.8709779
1773349618,7191117.945809274,24475192.47981733,24476584.45211975,24148.641428546,26817.164736142,24476584.613161165
1773349619,7191161.690754126,24475236.221734263,24476628.19404056,24192.386681834,26860.908300229,24476628.35507576
1773349620,7191205.436407232,24475279.963414636,24476671.935717534,24236.133488478,26904.650160974,24476672.096722834
1773349621,7191249.181587513,24475323.704832558,24476715.67712361,24279.878296324,26948.390711673,24476715.83815656
1773349622,7191292.925363993,24475367.445997726,24476759.418266118,24323.622453979,26992.132203924,24476759.579319395
1773349623,7191336.669023204,24475411.186895285,24476803.159146182,24367.364385575,27035.874645768,24476803.32023445
1773349624,7191380.41233289,24475454.927565392,24476846.899781294,24411.108222078,27079.617565771,24476847.06090456
1773349625,7191424.157266603,24475498.66796137,24476890.64014277,24454.848845959,27123.355173379,24476890.8012982
1773349626,7191467.90126848,24475542.408118274,24476934.380264193,24498.591364742,27167.094630051,24476934.54143047
1773349627,7191511.644013228,24475586.148015957,24476978.120127372,24542.335292883,27210.831499204,24476978.281335294
